"DairitenTK_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenTK_Name_KJKC","DairitenTK_Name_KJ","DairitenTK_Name_KJR","DairitenTK_Name_KJK","DairitenTK_Name_KN","DairitenTK_Name_KNR","Yubinbango","Jusho_CD","Jusho_KJ","TEL_NO","FAX_NO","DairitenTK_KBN","DairitenTK_Seisaku_KBN","Nijiten_KBN","Keikakutani_FLG","PrintI_CTL","PrintYK_CTL","TorihikiKaishi_DT","TorihikiChushi_DT","Toroku_DT","agency_cd"
"03025","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）アスカム岩手支店","（株）アスカム岩手支店","アスカム岩手支店","ＡＣ岩手","KKｱｽｶﾑ ｲﾜﾃｼﾃﾝ","ACｲﾜﾃ","020-0891","03322022000","岩手県紫波郡矢巾町流通センター南三丁目４－１２","0000-00-0000","","1","3","","1","108","002","20001001","","20000914","13013"
"03027","01/01/2000 00:00:00","03/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","恒和薬品　岩手","恒和薬品　岩手","恒和薬品　岩手","恒和岩手","ｺｳﾜﾔｸﾋﾝ ｲﾜﾃ","ｺｳﾜ ｲﾜﾃ","020-0891","03322022000","岩手県紫波郡矢巾町流通センター南１０－２","0000-00-0000","","1","3","","1","302","040","20081001","","20080918","13149"
"03027","04/01/2016 00:00:00","09/30/2018 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）恒和薬品岩手","（株）恒和薬品岩手","恒和薬品岩手","恒和岩手","ｺｳﾜﾔｸﾋﾝ ｲﾜﾃ","ｺｳﾜ ｲﾜﾃ","020-0891","03322022000","岩手県紫波郡矢巾町流通センター南１０－２","0000-00-0000","","1","3","","1","302","040","20081001","","20080918","13149"
"03028","01/01/2000 00:00:00","10/31/2011 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","東邦薬品　岩手営業部","東邦薬品　岩手営業部","東邦　岩手営業部","東邦　岩手","ﾄｳﾎｳ ｲﾜﾃ ｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳ ｲﾜﾃ","020-0891","03322022000","岩手県紫波郡矢巾町流通センター南三丁目４－１２","0000-00-0000","","1","3","","1","152","002","20101001","","20100907","13013"
"03028","11/01/2011 00:00:00","03/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","東邦薬品　岩手営業部","東邦薬品　岩手営業部","東邦　岩手営業部","東邦　岩手","ﾄｳﾎｳ ｲﾜﾃ ｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳ ｲﾜﾃ","020-0891","03322022000","岩手県紫波郡矢巾町流通センター南三丁目４－１２","0000-00-0000","","1","3","","1","153","002","20101001","","20100907","13013"
"03028","04/01/2016 00:00:00","04/14/2019 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","東邦薬品（株）岩手営業部","東邦薬品（株）岩手営業部","東邦薬品岩手営業部","東邦岩手","ﾄｳﾎｳ ｲﾜﾃ ｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳ ｲﾜﾃ","020-0891","03322022000","岩手県紫波郡矢巾町流通センター南三丁目４－１２","0000-00-0000","","1","3","","1","153","002","20101001","","20100907","13013"
"03888","01/01/2000 00:00:00","02/28/2013 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","岩手の代理店","岩手の代理店","岩手の代理店","岩・代理店","ｲﾜﾃﾉ ﾀﾞｲﾘﾃﾝ","ｲﾜﾃ","","00000000000","","0000-00-0000","","9","3","","","","","195105","","195105",""
"03888","03/01/2013 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","岩手の代理店","岩手の代理店","岩手の代理店","岩・代理店","ｲﾜﾃﾉ ﾀﾞｲﾘﾃﾝ","ｲﾜﾃ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"03889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","岩手の代理店","岩手の代理店","岩手の代理店","岩・代理店","ｲﾜﾃﾉ ﾀﾞｲﾘﾃﾝ","ｲﾜﾃ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"04001","01/01/2000 00:00:00","10/09/2019 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）バイタルネット宮城","（株）バイタルネット宮城","バイタルネット宮城","ＶＮ宮城","(ｶﾌﾞ)ﾊﾞｲﾀﾙﾈﾂﾄ ﾐﾔｷﾞ","VNﾐﾔｷﾞ","980-0805","04101015000","宮城県仙台市青葉区大手町１－１","0000-00-0000","","1","3","","5","113","001","20010101","","20010101","04041"
"04002","01/01/2000 00:00:00","10/31/2013 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）小田島宮城営業部","（株）小田島宮城営業部","小田島宮城営業部","小田島宮城","KK ｵﾀﾞｼﾞﾏ ﾐﾔｷﾞｴｲｷﾞﾖ","ｵﾀﾞｼﾏｾﾝﾀﾞｲ","980-0802","04101101000","宮城県仙台市青葉区二日町１４－２７","0000-00-0000","","1","3","","1","203","003","19000101","","19000101","13149"
"04002","11/01/2013 00:00:00","03/31/2016 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","（株）小田島宮城営業部","（株）小田島宮城営業部","小田島宮城営業部","小田島宮城","KK ｵﾀﾞｼﾞﾏ ﾐﾔｷﾞｴｲｷﾞﾖ","ｵﾀﾞｼﾏｾﾝﾀﾞｲ","980-0802","04101101000","宮城県仙台市青葉区二日町１４－２７","0000-00-0000","","1","3","","5","203","003","19000101","","19000101","13149"
"04002","04/01/2016 00:00:00","09/30/2018 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）小田島宮城","（株）小田島宮城","小田島宮城","小田島宮城","KK ｵﾀﾞｼﾞﾏ ﾐﾔｷﾞｴｲｷﾞﾖ","ｵﾀﾞｼﾏｾﾝﾀﾞｲ","980-0802","04101101000","宮城県仙台市青葉区二日町１４－２７","0000-00-0000","","1","3","","5","203","003","19000101","","19000101","13149"
"04004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）アスカム宮城支店","（株）アスカム宮城支店","アスカム宮城支店","ＡＣ宮城","KK ｱｽｶﾑ ﾐﾔｷﾞｼﾃﾝ","ACﾐﾔｷﾞ","980-0801","04101048001","宮城県仙台市青葉区木町通１丁目３－７","0000-00-0000","","1","3","","1","109","002","19000101","","19000101","13013"
"04005","01/01/2000 00:00:00","10/31/2011 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","イワキ（株）仙台支店","イワキ（株）仙台支店","イワキ　　　仙台支店","イワキ仙台","ｲﾜｷ KK ｾﾝﾀﾞｲｼﾃﾝ","ｲﾜｷ ｾﾝﾀﾞｲ","983-0047","04102002000","宮城県仙台市宮城野区銀杏町１９ー８","0000-00-0000","","1","3","","","005","005","19000101","","19000101",""
"04005","11/01/2011 00:00:00","02/07/2019 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","イワキ（株）仙台支店","イワキ（株）仙台支店","イワキ　　　仙台支店","イワキ仙台","ｲﾜｷ KK ｾﾝﾀﾞｲｼﾃﾝ","ｲﾜｷ ｾﾝﾀﾞｲ","983-0047","04102002000","宮城県仙台市宮城野区銀杏町１９ー８","03-38817-3967","","1","3","","","005","005","19000101","20111130","19000101",""
"04014","01/01/2000 00:00:00","03/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）マルタケ仙台","（株）マルタケ仙台","マルタケ仙台","マルタケ仙","KK ﾏﾙﾀｹｾﾝﾀﾞｲ","ﾏﾙﾀｹｾﾝﾀﾞｲ","983-0035","04102061001","宮城県仙台市宮城野区日の出町１丁目６－３０","0000-00-0000","","1","3","","","501","011","19000101","","19000101","15022"
"04014","04/01/2016 00:00:00","10/09/2019 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）マルタケ仙台","（株）マルタケ仙台","マルタケ仙台支店","マルタケ仙","KK ﾏﾙﾀｹｾﾝﾀﾞｲ","ﾏﾙﾀｹｾﾝﾀﾞｲ","983-0035","04102061001","宮城県仙台市宮城野区日の出町１丁目６－３０","022-284-8611","","1","3","","","501","011","19000101","","19000101","15022"
"04019","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","純正化学メディカル事業所","純正化学メディカル事業所","純正化学メディカル","純正化学","ｼﾞﾕﾝｾｲｶｶﾞｸﾒﾃﾞｲｶﾙ","ｼﾞﾕﾝｾｲｶｶﾞｸ","984-0015","04103016001","宮城県仙台市若林区卸町１丁目２－７","022-283-8245","","2","3","2","","","","19930401","","19930225",""
"04020","01/01/2000 00:00:00","10/31/2012 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","小泉薬品（株）","小泉薬品（株）","小泉薬品","小泉","ｺｲｽﾞﾐ ﾔｸﾋﾝ","ｺｲｽﾞﾐ","","00000000000","","022-237-0371","","2","3","2","","013","013","19000101","","19000101",""
"04020","11/01/2012 00:00:00","09/30/2020 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","小泉薬品（株）","小泉薬品（株）","小泉薬品","小泉","ｺｲｽﾞﾐ ﾔｸﾋﾝ","ｺｲｽﾞﾐ","984-0015","04103016001","宮城県仙台市若林区卸町１丁目３－４－５","022-237-0371","","2","3","2","","013","013","19000101","20121121","19000101",""
"04030","01/01/2000 00:00:00","10/31/2012 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）Ｐａｌｔａｃ東北支社","（株）Ｐａｌｔａｃ東北支社","Ｐａｌｔａｃ東北支社","ＰＴ東北","ﾊﾟﾙﾀﾂｸKSﾄｳﾎｸ","PTﾄｳﾎｸ","989-2421","04211018000","宮城県岩沼市下野郷字中野馬場３４１","0000-00-0000","","1","2","","","999","","19990201","","19990121","04049"
"04030","11/01/2012 00:00:00","10/08/2020 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）Ｐａｌｔａｃ東北支社","（株）Ｐａｌｔａｃ東北支社","Ｐａｌｔａｃ東北支社","ＰＴ東北","ﾊﾟﾙﾀﾂｸKSﾄｳﾎｸ","PTﾄｳﾎｸ","989-2421","04211018000","宮城県岩沼市下野郷字中野馬場３４１","03-3817-3967","","1","2","","","999","","19990201","","19990121","04049"
"04040","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04187","03/29/2018 18:50:00","803001","ecl04187","03/29/2018 18:50:00","803001","（株）アスカム","（株）アスカム","アスカム","アスカム","KKｱｽｶﾑ","ｱｽｶﾑ","980-0801","04101048001","宮城県仙台市青葉区木町通１丁目３－７","0000-00-0000","","1","3","","","002","002","20001001","","20000925","13013"
"04041","01/01/2000 00:00:00","10/08/2020 00:00:00","0","ecl04187","03/29/2018 18:50:00","803001","ecl04187","03/29/2018 18:50:00","803001","（株）バイタルネット","（株）バイタルネット","バイタルネット","バイタルＮ","ﾊﾞｲﾀﾙﾈﾂﾄKK","ﾊﾞｲﾀﾙﾈﾂﾄKK","980-0805","04101015000","宮城県仙台市青葉区大手町１－１","0000-00-0000","","1","3","","","001","001","20010101","","20001214","04041"
"04042","01/01/2000 00:00:00","04/14/2019 00:00:00","0","ecl07708","03/29/2018 18:50:00","803001","ecl07708","03/29/2018 18:50:00","803001","バイタルネット","バイタルネット","バイタルネット","ＶＮ本部","ﾊﾞｲﾀﾙﾈﾂﾄKK","ﾊﾞｲﾀﾙﾈﾂﾄKK","981-1223","04207011000","宮城県名取市下余田字鹿島１０","022-384-4554","022-384-1123","1","3","","","551","001","20010101","","20001218","04041"
"04044","01/01/2000 00:00:00","10/31/2012 00:00:00","0","ecl05053","03/29/2018 18:50:00","803001","ecl05053","03/29/2018 18:50:00","803001","（株）リードヘルスケア東北","（株）リードヘルスケア東北","リードＨＣ東北","ＲＨＣ東北","ﾘ-ﾄﾞﾍﾙｽｹｱﾄｳﾎｸ","ﾘ-ﾄﾞﾍﾙｽｹｱ","981-1223","04207011000","宮城県名取市下余田鹿島１０","022-266-2979","022-266-7386","1","3","","","139","001","20050615","","20050615","04044"
"04044","11/01/2012 00:00:00","08/15/2018 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）リードヘルスケア東北","（株）リードヘルスケア東北","リードＨＣ東北","ＲＨＣ東北","ﾘ-ﾄﾞﾍﾙｽｹｱﾄｳﾎｸ","ﾘ-ﾄﾞﾍﾙｽｹｱ","981-1225","04207001001","宮城県名取市飯野坂１丁目１－３","022-381-4020","022-266-7386","1","3","","","139","001","20050615","","20050615","04044"
"04045","01/01/2000 00:00:00","10/31/2011 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）Ｐａｌｔａｃ東北","（株）Ｐａｌｔａｃ東北","Ｐａｌｔａｃ東北","ＰＴ東北","ﾊﾟﾙﾀﾂｸﾄｳﾎｸｼｼﾔ","ﾊﾟﾙﾄｳﾎｸｼｼﾔ","989-2421","04211018000","宮城県岩沼市下野郷字中野馬場３４－１","0000-00-0000","","1","3","","","","","20060920","","20060920",""
"04045","11/01/2011 00:00:00","04/14/2020 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）Ｐａｌｔａｃ東北","（株）Ｐａｌｔａｃ東北","Ｐａｌｔａｃ東北","ＰＴ東北","ﾊﾟﾙﾀﾂｸﾄｳﾎｸｼｼﾔ","ﾊﾟﾙﾄｳﾎｸｼｼﾔ","989-2421","04211018000","宮城県岩沼市下野郷字中野馬場３４－１","03-3817-3967","","1","3","","","","","20060920","20111129","20060920",""
"04046","01/01/2000 00:00:00","03/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","恒和薬品　宮城","恒和薬品　宮城","恒和薬品　宮城","恒和宮城","ｺｳﾜﾔｸﾋﾝ ﾐﾔｷﾞ","ｺｳﾜ ﾐﾔｷﾞ","981-3117","04105006000","宮城県仙台市泉区市名坂５０－２","0000-00-0000","","1","3","","1","303","020","20081001","","20080918","13149"
"04046","04/01/2016 00:00:00","09/30/2018 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）恒和薬品宮城","（株）恒和薬品宮城","恒和薬品宮城","恒和宮城","ｺｳﾜﾔｸﾋﾝ ﾐﾔｷﾞ","ｺｳﾜ ﾐﾔｷﾞ","981-3117","04105006000","宮城県仙台市泉区市名坂５０－２","0000-00-0000","","1","3","","1","303","020","20081001","","20080918","13149"
"04048","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","メディセオ南東北統括営業部","メディセオ南東北統括営業部","メディセオ南東北統括","ＭＣ南東北","ﾒﾃﾞｲｾｵ ﾐﾅﾐﾄｳﾎｸﾄｳｶﾂ","MCﾐﾅﾐﾄｳｶﾂ","983-0034","04102005003","宮城県仙台市宮城野区扇町３丁目","0000-00-0000","","1","3","","5","351","","20091001","","20090917","28026"
"04048","04/01/2013 00:00:00","03/31/2016 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","メディセオ南東北統括営業部","メディセオ南東北統括営業部","メディセオ南東北統括","ＭＣ南東北","ﾒﾃﾞｲｾｵ ﾐﾅﾐﾄｳﾎｸﾄｳｶﾂ","MCﾐﾅﾐﾄｳｶﾂ","983-0034","04102005003","宮城県仙台市宮城野区扇町３丁目","0000-00-0000","","1","3","","1","351","","20091001","","20090917","28026"
"04048","04/01/2016 00:00:00","04/14/2019 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）メディセオ南東北統括営業部","メディセオ南東北統括営業部","メディセオ南東北統括","ＭＣ南東北","ﾒﾃﾞｲｾｵ ﾐﾅﾐﾄｳﾎｸﾄｳｶﾂ","MCﾐﾅﾐﾄｳｶﾂ","983-0034","04102005003","宮城県仙台市宮城野区扇町３丁目","0000-00-0000","","1","3","","1","351","","20091001","","20090917","28026"
"04050","01/01/2000 00:00:00","10/31/2012 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）リードＨＣ　新東北","（株）リードＨＣ　新東北","リードＨＣ新東北","ＲＨＣ新東","ﾘ-ﾄﾞﾍﾙｽｹｱｼﾝﾄｳﾎｸ","ﾘ-ﾄﾞﾍﾙｽｹｱ","981-1223","04207011000","宮城県名取市下余田鹿島１０","022-384-4554","022-384-1123","1","3","","","139","001","20091224","","20091224","40059"
"04050","11/01/2012 00:00:00","03/31/2015 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）リードＨＣ　新東北","（株）リードＨＣ　新東北","リードＨＣ新東北","ＲＨＣ新東","ﾘ-ﾄﾞﾍﾙｽｹｱｼﾝﾄｳﾎｸ","ﾘ-ﾄﾞﾍﾙｽｹｱ","981-1225","04207001001","宮城県名取市飯野坂１丁目１－３","022-384-4554","022-384-1123","1","3","","","139","001","20091224","","20091224","40059"
"04050","04/01/2015 00:00:00","03/31/2017 00:00:00","0","ecl05317","03/29/2018 18:50:00","803001","ecl05317","03/29/2018 18:50:00","803001","（株）リードＨＣ　東日本営業部","（株）リードＨＣ　東日本","リードＨＣ東日本","ＲＨＣ東日","ﾘ-ﾄﾞﾍﾙｽｹｱﾋｶﾞｼﾆﾎﾝ","ﾘ-ﾄﾞﾋｶﾞｼﾆﾎ","981-1225","04207001001","宮城県名取市飯野坂１丁目１－３","022-384-4554","022-384-1123","1","3","","","139","001","20091224","","20091224","40059"
"04050","04/01/2017 00:00:00","04/19/2018 00:00:00","0","ecl05317","03/29/2018 18:50:00","803001","ecl05317","03/29/2018 18:50:00","803001","（株）リードヘルスケア関東営業部","（株）リードヘルスケア関東","リードＨＣ関東営業部","ＲＨＣ関東","ﾘ-ﾄﾞﾍﾙｽｹｱｶﾝﾄｳｴｲｷﾞﾖｳﾌ","ﾘ-ﾄﾞｶﾝﾄｳ","103-0013","13102022002","東京都中央区日本橋人形町２丁目１３－９ＦＯＲＥＣＡＳＴ人形町３階","03-5614-5130","022-384-1123","1","3","","","139","001","20091224","","20091224","40059"
"04051","01/01/2000 00:00:00","03/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","東邦薬品　宮城営業部","東邦薬品　宮城営業部","東邦　宮城営業部","東邦　宮城","ﾄｳﾎｳ ﾐﾔｷﾞ ｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳ ﾐﾔｷﾞ","980-0801","04101048001","宮城県仙台市青葉区木町通１丁目３－７","0000-00-0000","","1","3","","1","154","002","20101001","","20100907","13013"
"04051","04/01/2016 00:00:00","10/09/2019 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","東邦薬品（株）宮城営業部","東邦薬品（株）宮城営業部","東邦薬品宮城営業部","東邦宮城","ﾄｳﾎｳ ﾐﾔｷﾞ ｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳ ﾐﾔｷﾞ","980-0801","04101048001","宮城県仙台市青葉区木町通１丁目３－７","0000-00-0000","","1","3","","1","154","002","20101001","","20100907","13013"
"04504","01/01/2000 00:00:00","10/09/2019 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）スズケン仙台営業部","（株）スズケン仙台営業部","スズケン仙台営業部","Ｓ・仙台","KKｽｽﾞｹﾝｾﾝﾀﾞｲｴｲｷﾞﾖｳﾌﾞ","SZｾﾝﾀﾞｲ","982-0251","04104058000","宮城県仙台市太白区茂庭字人来田西７６","022-281-1811","022-281-5963","1","3","","5","252","015","19000101","","19000101","23049"
"04888","01/01/2000 00:00:00","02/28/2013 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","宮城の代理店","宮城の代理店","宮城の代理店","宮・代理店","ﾐﾔｷﾞﾉ ﾀﾞｲﾘﾃﾝ","ﾐﾔｷﾞ","","00000000000","","0000-00-0000","","9","3","","","","","195105","","195105",""
"04888","03/01/2013 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","宮城の代理店","宮城の代理店","宮城の代理店","宮・代理店","ﾐﾔｷﾞﾉ ﾀﾞｲﾘﾃﾝ","ﾐﾔｷﾞ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"04889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","宮城の代理店","宮城の代理店","宮城の代理店","宮・代理店","ﾐﾔｷﾞﾉ ﾀﾞｲﾘﾃﾝ","ﾐﾔｷﾞ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"04890","01/01/2000 00:00:00","08/31/2012 00:00:00","0","ecl05317","03/29/2018 18:50:00","803001","ecl05317","03/29/2018 18:50:00","803001","アルフレッサヘルスケア（株）東北支社","アルフレッサＨＣ東北支社","アルフレッサＨＣ東北","アルフ東北","ｱﾙﾌﾚﾂｻﾍﾙｽｹｱﾄｳﾎｸ","ｱﾙﾌﾄｳﾎｸｼｼﾔ","981-3133","04105005001","宮城県仙台市泉区泉中央１丁目２８ー２２","0000-00-0000","","1","2","","","237","","20110907","","20110907","13012"
"04890","09/01/2012 00:00:00","03/31/2013 00:00:00","0","ecl05317","03/29/2018 18:50:00","803001","ecl05317","03/29/2018 18:50:00","803001","アルフレッサヘルスケア（株）東北支社","アルフレッサＨＣ東北支社","アルフレッサＨＣ東北","アルフ東北","ｱﾙﾌﾚﾂｻﾍﾙｽｹﾄｳﾎｸ","ｱﾙﾌﾄｳﾎｸ","981-3133","04105005001","宮城県仙台市泉区泉中央１丁目２８－２２","022-772-6383","022-772-6386","1","2","","","237","","20111001","","20111001","13012"
"04890","04/01/2013 00:00:00","10/08/2020 00:00:00","0","ecl05317","03/29/2018 18:50:00","803001","ecl05317","03/29/2018 18:50:00","803001","アルフレッサヘルスケア（株）北海道東北支社","アルフレッサＨＣ北海道東北","アルフレッサＨＣ北東","アルフ東北","ｱﾙﾌﾚﾂｻﾍﾙｽｹﾎﾂｶｲﾄｳﾎｸ","ｱﾙﾌﾎﾂｶｲﾄﾞｳ","981-3133","04105005001","宮城県仙台市泉区泉中央１丁目２８－２２","022-772-6383","022-772-6386","1","2","","","237","","20111001","","20111001","13012"
"05003","01/01/2000 00:00:00","03/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）小田島秋田営業部","（株）小田島秋田営業部","小田島秋田営業部","小田島秋田","KK ｵﾀﾞｼﾞﾏ ｱｷﾀｴｲｷﾞﾖｳﾌ","ﾞﾀﾞｼﾞﾏｱｷﾀ","010-0061","05201060003","秋田県秋田市卸町３丁目４－３","0000-00-0000","","1","3","","5","204","003","20110401","","20110401","13149"
"05003","04/01/2016 00:00:00","09/30/2018 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）小田島秋田","（株）小田島秋田","小田島秋田","小田島秋田","KK ｵﾀﾞｼﾞﾏ ｱｷﾀｴｲｷﾞﾖｳﾌ","ﾞﾀﾞｼﾞﾏｱｷﾀ","010-0061","05201060003","秋田県秋田市卸町３丁目４－３","0000-00-0000","","1","3","","5","204","003","20110401","","20110401","13149"
"05007","01/01/2000 00:00:00","04/14/2019 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）バイタルネット秋田","（株）バイタルネット秋田","バイタルネット秋田","ＶＮ秋田","(ｶﾌﾞ)ﾊﾞｲﾀﾙﾈﾂﾄ ｱｷﾀ","VNｱｷﾀ","010-0000","05201000000","秋田県秋田市","0000-00-0000","","1","3","","5","114","001","20010101","","19990610","04041"
"05013","01/01/2000 00:00:00","04/14/2019 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","（株）スズケン秋田営業部","（株）スズケン秋田営業部","スズケン秋田営業部","Ｓ・秋田","KKｽｽﾞｹﾝｱｷﾀｴｲｷﾞﾖｳﾌﾞ","SZｱｷﾀ","010-0954","05201122000","秋田県秋田市山王沼田町６－５","018-867-8815","018-863-3212","1","3","","5","253","015","20040713","","20040712","23049"
"05016","01/01/2000 00:00:00","03/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","恒和薬品　秋田","恒和薬品　秋田","恒和薬品　秋田","恒和秋田","ｺｳﾜﾔｸﾋﾝ ｱｵﾓﾘ","ｺｳﾜ ｱｷﾀ","010-1612","05201033000","秋田県秋田市新屋豊町３－２１","0000-00-0000","","1","3","","1","304","050","20081001","","20080918","13149"
"05016","04/01/2016 00:00:00","09/30/2018 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）恒和薬品秋田","（株）恒和薬品秋田","恒和薬品秋田","恒和秋田","ｺｳﾜﾔｸﾋﾝ ｱｵﾓﾘ","ｺｳﾜ ｱｷﾀ","010-1612","05201033000","秋田県秋田市新屋豊町３－２１","0000-00-0000","","1","3","","1","304","050","20081001","","20080918","13149"
"05017","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","メディセオ北東北統括営業部","メディセオ北東北統括営業部","メディセオ北東北統括","ＭＣ北東北","ﾒﾃﾞｲｾｵ ｷﾀﾄｳﾎｸﾄｳｶﾂ","MCｷﾀﾄｳｶﾂ","010-0061","05201060004","秋田県秋田市卸町４丁目","0000-00-0000","","1","3","","5","352","039","20091001","","20090917","28026"
"05017","04/01/2013 00:00:00","03/31/2016 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","メディセオ北東北統括営業部","メディセオ北東北統括営業部","メディセオ北東北統括","ＭＣ北東北","ﾒﾃﾞｲｾｵ ｷﾀﾄｳﾎｸﾄｳｶﾂ","MCｷﾀﾄｳｶﾂ","010-0061","05201060004","秋田県秋田市卸町４丁目","0000-00-0000","","1","3","","1","352","039","20091001","","20090917","28026"
